1	MBRep_T10control	MBRep_T10tumor
2	MBRep_T11control	MBRep_T11tumor
3	MBRep_T12control	MBRep_T12tumor
4	MBRep_T13_mergedcontrol	MBRep_T13_mergedtumor
5	MBRep_T1control	MBRep_T1tumor
6	MBRep_T22_mergedcontrol	MBRep_T22_mergedtumor
7	MBRep_T23_mergedcontrol	MBRep_T23_mergedtumor
8	MBRep_T24_mergedcontrol	MBRep_T24_mergedtumor
9	MBRep_T25_mergedcontrol	MBRep_T25_mergedtumor
10	MBRep_T26_mergedcontrol	MBRep_T26_mergedtumor
11	MBRep_T27_mergedcontrol	MBRep_T27_mergedtumor
12	MBRep_T28_mergedcontrol	MBRep_T28_mergedtumor
13	MBRep_T29_mergedcontrol	MBRep_T29_mergedtumor
14	MBRep_T2control	MBRep_T2tumor
15	MBRep_T30_mergedcontrol	MBRep_T30_mergedtumor
16	MBRep_T32_mergedcontrol	MBRep_T32_mergedtumor
17	MBRep_T33_mergedcontrol	MBRep_T33_mergedtumor
18	MBRep_T35_mergedcontrol	MBRep_T35_mergedtumor
19	MBRep_T36_mergedcontrol	MBRep_T36_mergedtumor
20	MBRep_T37_mergedcontrol	MBRep_T37_mergedtumor
21	MBRep_T38_mergedcontrol	MBRep_T38_mergedtumor
22	MBRep_T39_mergedcontrol	MBRep_T39_mergedtumor
23	MBRep_T3control	MBRep_T3tumor
24	MBRep_T40_mergedcontrol	MBRep_T40_mergedtumor
25	MBRep_T41_mergedcontrol	MBRep_T41_mergedtumor
26	MBRep_T43_mergedcontrol	MBRep_T43_mergedtumor
27	MBRep_T44_mergedcontrol	MBRep_T44_mergedtumor
28	MBRep_T45_mergedcontrol	MBRep_T45_mergedtumor
29	MBRep_T46_mergedcontrol	MBRep_T46_mergedtumor
30	MBRep_T47_mergedcontrol	MBRep_T47_mergedtumor
31	MBRep_T48_mergedcontrol	MBRep_T48_mergedtumor
32	MBRep_T49_mergedcontrol	MBRep_T49_mergedtumor
33	MBRep_T4control	MBRep_T4tumor
34	MBRep_T51_mergedcontrol	MBRep_T51_mergedtumor
35	MBRep_T53_mergedcontrol	MBRep_T53_mergedtumor
36	MBRep_T54_mergedcontrol	MBRep_T54_mergedtumor
37	MBRep_T56_mergedcontrol	MBRep_T56_mergedtumor
38	MBRep_T59_mergedcontrol	MBRep_T59_mergedtumor
39	MBRep_T5control	MBRep_T5tumor
40	MBRep_T60_mergedcontrol	MBRep_T60_mergedtumor
41	MBRep_T61_mergedcontrol	MBRep_T61_mergedtumor
42	MBRep_T62_mergedcontrol	MBRep_T62_mergedtumor
43	MBRep_T63_mergedcontrol	MBRep_T63_mergedtumor
44	MBRep_T64_mergedcontrol	MBRep_T64_mergedtumor
45	MBRep_T66_mergedcontrol	MBRep_T66_mergedtumor
46	MBRep_T67_mergedcontrol	MBRep_T67_mergedtumor
47	MBRep_T68_mergedcontrol	MBRep_T68_mergedtumor
48	MBRep_T69_mergedcontrol	MBRep_T69_mergedtumor
49	MBRep_T6control	MBRep_T6tumor
50	MBRep_T70_mergedcontrol	MBRep_T70_mergedtumor
51	MBRep_T71_mergedcontrol	MBRep_T71_mergedtumor
52	MBRep_T72_mergedcontrol	MBRep_T72_mergedtumor
53	MBRep_T73_mergedcontrol	MBRep_T73_mergedtumor
54	MBRep_T78_mergedcontrol	MBRep_T78_mergedtumor
55	MBRep_T79_mergedcontrol	MBRep_T79_mergedtumor
56	MBRep_T83_mergedcontrol	MBRep_T83_mergedtumor
57	MBRep_T85_mergedcontrol	MBRep_T85_mergedtumor
58	MBRep_T86_mergedcontrol	MBRep_T86_mergedtumor
59	MBRep_T87_mergedcontrol	MBRep_T87_mergedtumor
60	MBRep_T88_mergedcontrol	MBRep_T88_mergedtumor
61	MBRep_T89_mergedcontrol	MBRep_T89_mergedtumor
62	MBRep_T90_mergedcontrol	MBRep_T90_mergedtumor
63	MBRep_T91_mergedcontrol	MBRep_T91_mergedtumor
64	MBRep_T92_mergedcontrol	MBRep_T92_mergedtumor
65	MBRep_T93_mergedcontrol	MBRep_T93_mergedtumor
